n,m,k,insert_calls,deletemin_calls,update_calls,heapify_up_calls,heapify_down_calls,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,r_insert,r_deletemin,r_update,i_ratio,d_ratio,u_ratio,log_k_n
4096,16384,2,4014,4014,1316,9273,38255,6705,0,38255,2568,0,558.75,3187.9166666666665,214.0,0.97998046875,0.97998046875,0.080322265625,12.0
4096,16384,2,4014,4014,1262,9240,38295,6747,0,38295,2493,0,562.25,3191.25,207.75,0.97998046875,0.97998046875,0.0770263671875,12.0
4096,16384,2,4014,4014,1317,9336,38150,6729,0,38150,2607,0,560.75,3179.1666666666665,217.25,0.97998046875,0.97998046875,0.08038330078125,12.0
4096,16384,2,4014,4014,1250,9042,38216,6558,0,38216,2484,0,546.5,3184.6666666666665,207.0,0.97998046875,0.97998046875,0.0762939453125,12.0
4096,16384,2,4014,4014,1280,9230,38172,6705,0,38172,2525,0,558.75,3181.0,210.41666666666666,0.97998046875,0.97998046875,0.078125,12.0
4096,16384,2,4014,4014,1276,9125,38111,6639,0,38111,2486,0,553.25,3175.9166666666665,207.16666666666666,0.97998046875,0.97998046875,0.077880859375,12.0
4096,16384,2,4014,4014,1340,9313,38411,6688,0,38411,2625,0,557.3333333333334,3200.9166666666665,218.75,0.97998046875,0.97998046875,0.081787109375,12.0
8192,8192,2,27,27,0,37,39,37,0,39,0,0,2.8461538461538463,3.0,0.0,0.0032958984375,0.0032958984375,0.0,13.0
8192,8192,2,6,6,0,7,6,7,0,6,0,0,0.5384615384615384,0.46153846153846156,0.0,0.000732421875,0.000732421875,0.0,13.0
8192,8192,2,1,1,0,1,1,1,0,1,0,0,0.07692307692307693,0.07692307692307693,0.0,0.0001220703125,0.0001220703125,0.0,13.0
8192,8192,2,3,3,0,4,3,4,0,3,0,0,0.3076923076923077,0.23076923076923078,0.0,0.0003662109375,0.0003662109375,0.0,13.0
8192,8192,2,512,512,0,785,1683,785,0,1683,0,0,60.38461538461539,129.46153846153845,0.0,0.0625,0.0625,0.0,13.0
8192,8192,2,2,2,0,2,2,2,0,2,0,0,0.15384615384615385,0.15384615384615385,0.0,0.000244140625,0.000244140625,0.0,13.0
8192,8192,2,1,1,0,1,1,1,0,1,0,0,0.07692307692307693,0.07692307692307693,0.0,0.0001220703125,0.0001220703125,0.0,13.0
8192,8192,2,1,1,0,1,1,1,0,1,0,0,0.07692307692307693,0.07692307692307693,0.0,0.0001220703125,0.0001220703125,0.0,13.0
8192,8192,2,1,1,0,1,1,1,0,1,0,0,0.07692307692307693,0.07692307692307693,0.0,0.0001220703125,0.0001220703125,0.0,13.0
8192,8192,2,731,731,0,1109,2745,1109,0,2745,0,0,85.3076923076923,211.15384615384616,0.0,0.0892333984375,0.0892333984375,0.0,13.0
8192,8192,2,1,1,0,1,1,1,0,1,0,0,0.07692307692307693,0.07692307692307693,0.0,0.0001220703125,0.0001220703125,0.0,13.0
8192,8192,2,22,22,0,28,26,28,0,26,0,0,2.1538461538461537,2.0,0.0,0.002685546875,0.002685546875,0.0,13.0
8192,8192,2,2,2,0,2,2,2,0,2,0,0,0.15384615384615385,0.15384615384615385,0.0,0.000244140625,0.000244140625,0.0,13.0
8192,8192,2,79,79,0,107,182,107,0,182,0,0,8.23076923076923,14.0,0.0,0.0096435546875,0.0096435546875,0.0,13.0
